Forks,Commits,Open Issues,Contributors,Files,ncloc,complexity,cognitive_complexity,classes,functions,duplicated_lines,duplicated_blocks,comment_lines,file_complexity,comment_lines_density,bugs
0,12103,0,320,5757,633.0,32.0,0.0,0.0,27.0,0,0,4.0,2.3,0.6,0
0,48,0,1,1674,591.0,40.0,0.0,0.0,29.0,0,0,3.0,4.0,0.5,0
1,200,0,2,88,356.0,29.0,1.0,1.0,20.0,0,0,0.0,4.1,0.0,0
0,12,1,1,160,12952.0,3616.0,113.0,3.0,974.0,12205,313,2751.0,139.1,17.5,64
0,3,0,1,115,930.0,96.0,1.0,0.0,77.0,0,0,81.0,4.0,8.0,1
0,1,0,1,1200,333.0,19.0,0.0,0.0,11.0,0,0,9.0,6.3,2.6,3
0,6,0,1,224,305.0,25.0,0.0,2.0,18.0,0,0,0.0,12.5,0.0,0
0,2,0,1,101,690.0,77.0,0.0,0.0,50.0,0,0,72.0,4.3,9.4,0
1,11,0,1,69,322.0,26.0,0.0,0.0,10.0,0,0,37.0,8.7,10.3,2
19,2,0,1,73,1264.0,152.0,2.0,0.0,104.0,0,0,45.0,2.7,3.4,1
0,7,0,1,187,431.0,75.0,3.0,1.0,43.0,0,0,0.0,5.8,0.0,0
0,6,0,1,3,583.0,48.0,1.0,0.0,43.0,0,0,31.0,3.7,5.0,0
0,13,0,1,2447,1611.0,52.0,0.0,15.0,29.0,232,4,762.0,1.3,32.1,11
0,1,0,1,11,334.0,56.0,0.0,0.0,50.0,158,6,0.0,14.0,0.0,0
0,50,8,3,82,181.0,16.0,37.0,1.0,4.0,0,0,26.0,16.0,12.6,0
0,27,0,3,38,609.0,75.0,3.0,1.0,43.0,0,0,45.0,5.8,6.4,0
0,1,0,1,7,609.0,75.0,3.0,1.0,43.0,0,0,45.0,5.8,6.4,0
0,17,0,0,12,609.0,75.0,3.0,1.0,43.0,0,0,45.0,5.8,6.4,0
0,247,0,3,419,1730.0,277.0,357.0,5.0,90.0,0,0,526.0,14.6,23.3,0
0,7,0,1,5,609.0,75.0,3.0,1.0,43.0,0,0,45.0,5.8,6.4,0
1,1,0,1,8,609.0,75.0,3.0,1.0,43.0,0,0,45.0,5.8,6.4,0
0,250,0,3,68,609.0,75.0,3.0,1.0,43.0,0,0,45.0,5.8,6.4,0
0,10,0,1,16,609.0,75.0,3.0,1.0,43.0,0,0,45.0,5.8,6.4,0
0,3,0,1,190,101.0,1.0,0.0,1.0,0.0,0,0,58.0,0.5,36.5,1
0,627,0,150,1626,674.0,31.0,14.0,0.0,20.0,0,0,101.0,1.3,13.0,0
0,3,0,1,18,609.0,75.0,3.0,1.0,43.0,0,0,45.0,5.8,6.4,0
0,1,0,1,10,3866.0,425.0,303.0,99.0,212.0,0,0,556.0,4.7,12.6,0
0,8,0,2,24,581.0,87.0,135.0,1.0,22.0,0,0,42.0,43.5,6.7,0
0,234,1,2,62,609.0,75.0,3.0,1.0,43.0,0,0,45.0,5.8,6.4,0
3,50,1,1,277,2213.0,93.0,86.0,12.0,46.0,1146,16,94.0,3.9,4.1,20
0,34,0,3,26,244.0,49.0,80.0,0.0,16.0,0,0,57.0,16.3,18.9,0
0,134,0,3,59,621.0,102.0,80.0,20.0,57.0,0,0,30.0,6.0,4.6,0
0,164,0,2,647,436.0,19.0,0.0,0.0,12.0,54,2,1.0,2.7,0.2,0
0,23,0,1,111,284.0,24.0,23.0,0.0,7.0,140,2,37.0,6.0,11.5,2
0,327,2,2,668,503.0,79.0,7.0,0.0,46.0,0,0,19.0,5.3,3.6,6
0,9,0,1,23,933.0,32.0,26.0,5.0,13.0,384,6,108.0,2.9,10.4,0
0,258,0,19,114,21.0,5.0,4.0,1.0,2.0,0,0,0.0,5.0,0.0,0
3,84,0,2,120,1929.0,96.0,0.0,8.0,67.0,44,2,35.0,3.2,1.8,3
1,4,0,1,8,1759.0,251.0,243.0,26.0,117.0,545,36,185.0,8.1,9.5,0
0,2,0,0,73,420.0,38.0,0.0,0.0,30.0,0,0,7.0,2.7,1.6,1
0,58,0,2,82,3400.0,610.0,2.0,8.0,484.0,488,34,93.0,5.4,2.7,0
0,241,0,16,577,1063.0,69.0,0.0,6.0,45.0,0,0,34.0,2.4,3.1,0
1,2,0,1,16,5154.0,5.0,0.0,0.0,5.0,0,0,13.0,1.3,0.3,1
0,4465,0,105,6143,26638.0,6.0,3.0,1.0,43.0,212,4,91.0,1.0,0.3,12
0,62,0,1,16,421.0,36.0,0.0,0.0,23.0,38,2,119.0,1.3,22.0,1
0,1,0,1,25,361.0,50.0,1.0,0.0,38.0,0,0,2.0,8.3,0.6,3
0,4,0,1,3,42.0,6.0,6.0,0.0,2.0,0,0,9.0,6.0,17.6,0
1,489,0,27,230,22597.0,2224.0,2279.0,3.0,557.0,394,23,2055.0,42.0,8.3,119
0,15,0,1,23,928.0,143.0,14.0,8.0,130.0,0,0,240.0,17.9,20.5,0
0,25,0,1,209,3707.0,278.0,41.0,53.0,218.0,299,2,677.0,2.6,15.4,10
6,6,1,2,2634,462.0,124.0,161.0,6.0,43.0,0,0,66.0,13.8,12.5,0
0,68,0,1,256,59922.0,134.0,19.0,47.0,113.0,312,17,2488.0,1.3,4.0,232
0,642,0,47,131,2394.0,224.0,176.0,22.0,90.0,420,6,291.0,5.0,10.8,8
6,14,0,2,21,1516.0,375.0,306.0,5.0,149.0,0,0,162.0,46.9,9.7,2
4,13,0,2,10,92.0,10.0,9.0,0.0,3.0,0,0,26.0,2.5,22.0,1
0,776,1,4,1215,57613.0,11319.0,19737.0,240.0,2203.0,10024,393,16183.0,29.2,21.9,1916
0,32,0,0,17,1607.0,329.0,137.0,90.0,234.0,80,2,81.0,27.4,4.8,0
0,49,18,2,110,933.0,32.0,26.0,5.0,13.0,384,6,108.0,2.9,10.4,0
0,50623,0,367,10419,194384.0,39799.0,39126.0,2896.0,14258.0,8458,630,43289.0,13.2,18.2,189
0,1,0,1,4,10.0,2.0,3.0,0.0,0.0,0,0,0.0,2.0,0.0,0
1,32,0,7,23,446.0,54.0,35.0,9.0,33.0,0,0,101.0,4.9,18.5,0
8,14,0,2,19,491.0,77.0,105.0,8.0,33.0,0,0,118.0,8.6,19.4,1
0,26,0,2,18,218.0,37.0,38.0,9.0,17.0,0,0,46.0,9.3,17.4,0
0,9,0,1,553,46694.0,5599.0,5315.0,103.0,1485.0,12736,809,11345.0,15.4,19.5,1430
0,53,0,1,203,4662.0,413.0,218.0,2.0,103.0,1751,19,315.0,17.2,6.3,48
