Forks,Commits,Open Issues,Contributors,Files,ncloc,complexity,cognitive_complexity,classes,functions,duplicated_lines,duplicated_blocks,comment_lines,class_complexity,file_complexity,comment_lines_density,bugs
0,6,0,1,3,583,48,1,0,43,0,0,31,None,3.7,5,0
0,13,0,1,2447,1611,52,0,15,29,232,4,762,None,1.3,32.1,11
0,1,0,1,11,334,56,0,0,50,158,6,0,None,14,0,0
0,50,8,3,82,181,16,37,1,4,0,0,26,None,16,12.6,0
0,27,0,3,38,None,None,None,None,None,0,0,None,None,None,None,0
0,1,0,1,7,None,None,None,None,None,0,0,None,None,None,None,0
0,17,0,0,12,None,None,None,None,None,0,0,None,None,None,None,0
0,247,0,3,419,1730,277,357,5,90,0,0,526,None,14.6,23.3,0
0,7,0,1,5,None,None,None,None,None,0,0,None,None,None,None,0
1,1,0,1,8,None,None,None,None,None,0,0,None,None,None,None,0
0,250,0,3,68,None,None,None,None,None,0,0,None,None,None,None,0
0,10,0,1,16,None,None,None,None,None,0,0,None,None,None,None,0
0,3,0,1,190,101,1,0,1,0,0,0,58,None,0.5,36.5,1
0,627,0,150,1626,674,31,14,0,20,0,0,101,None,1.3,13,0
0,3,0,1,18,None,None,None,None,None,0,0,None,None,None,None,0
0,1,0,1,10,3866,425,303,99,212,0,0,556,None,4.7,12.6,0
0,8,0,2,24,581,87,135,1,22,0,0,42,None,43.5,6.7,0
0,234,1,2,62,None,None,None,None,None,0,0,None,None,None,None,0
3,50,1,1,277,2213,93,86,12,46,1146,16,94,None,3.9,4.1,20
0,34,0,3,26,244,49,80,0,16,0,0,57,None,16.3,18.9,0
0,134,0,3,59,621,102,80,20,57,0,0,30,None,6,4.6,0
0,164,0,2,647,436,19,0,0,12,54,2,1,None,2.7,0.2,0
0,23,0,1,111,284,24,23,0,7,140,2,37,None,6,11.5,2
0,327,2,2,668,503,79,7,0,46,0,0,19,None,5.3,3.6,6
0,9,0,1,23,933,32,26,5,13,384,6,108,None,2.9,10.4,0
0,258,0,19,114,21,5,4,1,2,0,0,0,None,5,0,0
3,84,0,2,120,1929,96,0,8,67,44,2,35,None,3.2,1.8,3
1,4,0,1,8,1759,251,243,26,117,545,36,185,None,8.1,9.5,0
0,2,0,0,73,420,38,0,0,30,0,0,7,None,2.7,1.6,1
0,58,0,2,82,3400,610,2,8,484,488,34,93,None,5.4,2.7,0
0,241,0,16,577,1063,69,0,6,45,0,0,34,None,2.4,3.1,0
1,2,0,1,16,5154,5,0,0,5,0,0,13,None,1.3,0.3,1
0,4465,0,105,6143,26638,6,None,None,None,212,4,91,None,1,0.3,12
0,62,0,1,16,421,36,0,0,23,38,2,119,None,1.3,22,1
0,1,0,1,25,361,50,1,0,38,0,0,2,None,8.3,0.6,3
0,4,0,1,3,42,6,6,0,2,0,0,9,None,6,17.6,0
1,489,0,27,230,22597,2224,2279,3,557,394,23,2055,None,42,8.3,119
0,15,0,1,23,928,143,14,8,130,0,0,240,None,17.9,20.5,0
0,25,0,1,209,3707,278,41,53,218,299,2,677,None,2.6,15.4,10
6,6,1,2,2634,462,124,161,6,43,0,0,66,None,13.8,12.5,0
0,68,0,1,256,59922,134,19,47,113,312,17,2488,None,1.3,4,232
0,642,0,47,131,2394,224,176,22,90,420,6,291,None,5,10.8,8
6,14,0,2,21,1516,375,306,5,149,0,0,162,None,46.9,9.7,2
4,13,0,2,10,92,10,9,0,3,0,0,26,None,2.5,22,1
0,776,1,4,1215,57613,11319,19737,240,2203,10024,393,16183,None,29.2,21.9,1916
0,32,0,0,17,1607,329,137,90,234,80,2,81,None,27.4,4.8,0
0,49,18,2,110,933,32,26,5,13,384,6,108,None,2.9,10.4,0
0,50623,0,367,10419,194384,39799,39126,2896,14258,8458,630,43289,None,13.2,18.2,189
0,1,0,1,4,10,2,3,0,0,0,0,0,None,2,0,0
1,32,0,7,23,446,54,35,9,33,0,0,101,None,4.9,18.5,0
8,14,0,2,19,491,77,105,8,33,0,0,118,None,8.6,19.4,1
0,26,0,2,18,218,37,38,9,17,0,0,46,None,9.3,17.4,0
0,9,0,1,553,46694,5599,5315,103,1485,12736,809,11345,None,15.4,19.5,1430
0,53,0,1,203,4662,413,218,2,103,1751,19,315,None,17.2,6.3,48
